customer_id,first_name,last_name,phone_customer,email,password_cm,address_customer,tax_id
CUS-001,สมชาย,สายเบรก,081-222-3344,somchai@mail.com,A1b2C3d4,12/3 ถ.สุขุมวิท กรุงเทพฯ,1100100234567
CUS-002,วิภา,รักรถ,085-333-4455,wipa@mail.com,K9m2N5p8,45 ม.2 ต.บางนา กรุงเทพฯ,1200300456789
CUS-003,มานะ,อะไหล่ดี,089-444-5566,mana@mail.com,X7r8Y1z2,789 ถ.รัตนาธิเบศร์ นนทบุรี,1300500678901
CUS-004,กนกวรรณ,มั่นคง,082-555-6677,kanok@mail.com,Q4w5E6r7,101 ถ.พหลโยธิน ปทุมธานี,1400700890123
CUS-005,ธนพล,เรืองฤทธิ์,083-666-7788,tanapol@mail.com,T1y2U3i4,22/1 ถ.รามอินทรา กรุงเทพฯ,1500900012345
CUS-006,ปิยะมาศ,แสงทอง,084-777-8899,piyama@mail.com,O9p8A7s6,55 ถ.ราชพฤกษ์ นนทบุรี,1601100223344
CUS-007,อนันต์,สุขสวัสดิ์,086-888-9900,anan@mail.com,D4f5G6h7,333 ถ.สุขุมวิท ชลบุรี,1701300445566
CUS-008,รัตนา,มีบุญ,087-999-0011,rattana@mail.com,J1k2L3z4,99 ถ.ห้วยแก้ว เชียงใหม่,1801500667788
CUS-009,สุรชัย,ใจดี,088-000-1122,surachai@mail.com,X9c8V7b6,44 ถ.มิตรภาพ ขอนแก่น,1901700889900
CUS-010,พรทิพย์,ยิ้มแย้ม,081-111-2233,porntip@mail.com,N1m2Q3w4,112 ถ.เพชรเกษม สงขลา,1101900112233
CUS-011,วิชัย,นาวา,082-222-3344,wichai@mail.com,E7r8T9y0,67 ถ.เลียบคลอง กรุงเทพฯ,1102100334455
CUS-012,นภา,ฟ้าใส,083-333-4455,napa@mail.com,U1i2O3p4,88/8 ม.5 ต.สำโรง สมุทรปราการ,1102300556677
CUS-013,ชาตรี,กล้าหาญ,084-444-5566,chatree@mail.com,A5s6D7f8,15 ถ.บรมราชชนนี กรุงเทพฯ,1102500778899
CUS-014,ยุพา,ดวงดี,085-555-6677,yupa@mail.com,G9h0J1k2,202 ถ.แจ้งวัฒนะ นนทบุรี,1102700990011
CUS-015,ประสิทธิ์,พูลสุข,086-666-7788,prasit@mail.com,L3z4X5c6,47 ถ.เพชรบุรี กรุงเทพฯ,1102900223344
CUS-016,อารี,รักษ์ไทย,087-777-8899,aree@mail.com,V7b8N9m0,9 ถ.รามคำแหง กรุงเทพฯ,1103100445566
CUS-017,สุชาติ,พลังจิต,088-888-9900,suchat@mail.com,Q2w3E4r5,56 ถ.นวมินทร์ กรุงเทพฯ,1103300667788
CUS-018,มาลี,บานชื่น,089-999-0011,malee@mail.com,T6y7U8i9,12 ถ.สาทร กรุงเทพฯ,1103500889900
CUS-019,เกรียงไกร,เจริญผล,081-000-1122,kriang@mail.com,O0p1A2s3,34 ถ.พระราม 2 กรุงเทพฯ,1103700112233
CUS-020,วรรณภา,มีสุข,082-111-2233,wannapa@mail.com,D4f5G6h7,77 ถ.อ่อนนุช กรุงเทพฯ,1103900334455
