order_id,order_date,customer_id,employee_id,total_price,order_type,shipping_address,billing_address,tracking_number
ORD-001,25/2/1,CUS-001,EMP-002,"2,550",Online,12/3 ถ.สุขุมวิท กรุงเทพฯ,12/3 ถ.สุขุมวิท กรุงเทพฯ,TH12345678A
ORD-002,25/2/1,CUS-005,EMP-002,"1,250",In-Store,สาขาสำนักงานใหญ่ (BK-001),22/1 ถ.รามอินทรา กรุงเทพฯ,-
ORD-003,25/2/2,CUS-012,EMP-005,"3,400",Online,88/8 ม.5 ต.สำโรง สมุทรปราการ,88/8 ม.5 ต.สำโรง สมุทรปราการ,TH88776655B
ORD-004,25/2/2,CUS-003,EMP-014,950,In-Store,สาขาบางนา (BN-002),789 ถ.รัตนาธิเบศร์ นนทบุรี,-
ORD-005,25/2/3,CUS-020,EMP-013,"5,200",Online,77 ถ.อ่อนนุช กรุงเทพฯ,77 ถ.อ่อนนุช กรุงเทพฯ,TH99001122C
ORD-006,25/2/3,CUS-008,EMP-009,"2,800",Online,99 ถ.ห้วยแก้ว เชียงใหม่,99 ถ.ห้วยแก้ว เชียงใหม่,TH33445566D
ORD-007,25/2/4,CUS-015,EMP-001,"1,850",In-Store,สาขาพระราม 2 (RM-003),47 ถ.เพชรบุรี กรุงเทพฯ,-
ORD-008,25/2/4,CUS-002,EMP-002,"6,500",Online,45 ม.2 ต.บางนา กรุงเทพฯ,45 ม.2 ต.บางนา กรุงเทพฯ,TH55667788E
ORD-009,25/2/5,CUS-011,EMP-011,"4,100",In-Store,สาขาเชียงใหม่ (CM-010),67 ถ.เลียบคลอง กรุงเทพฯ,-
ORD-010,25/2/5,CUS-009,EMP-015,"1,950",Online,44 ถ.มิตรภาพ ขอนแก่น,44 ถ.มิตรภาพ ขอนแก่น,TH22334455F
ORD-011,25/2/6,CUS-004,EMP-003,"2,200",In-Store,สาขาปทุมธานี (PA-005),101 ถ.พหลโยธิน ปทุมธานี,-
ORD-012,25/2/6,CUS-018,EMP-008,750,Online,12 ถ.สาทร กรุงเทพฯ,12 ถ.สาทร กรุงเทพฯ,TH77889900G
ORD-013,25/2/7,CUS-007,EMP-007,"3,900",Online,333 ถ.สุขุมวิท ชลบุรี,333 ถ.สุขุมวิท ชลบุรี,TH66554433H
ORD-014,25/2/7,CUS-014,EMP-004,"1,650",In-Store,สาขานนทบุรี (NO-004),202 ถ.แจ้งวัฒนะ นนทบุรี,-
ORD-015,25/2/8,CUS-006,EMP-006,550,Online,55 ถ.ราชพฤกษ์ นนทบุรี,55 ถ.ราชพฤกษ์ นนทบุรี,TH11223344I
ORD-016,25/2/8,CUS-010,EMP-010,"1,200",Online,112 ถ.เพชรเกษม สงขลา,112 ถ.เพชรเกษม สงขลา,TH44556677J
ORD-017,25/2/9,CUS-013,EMP-012,"4,500",In-Store,สาขาขอนแก่น (KK-011),15 ถ.บรมราชชนนี กรุงเทพฯ,-
ORD-018,25/2/9,CUS-017,EMP-011,"2,100",Online,56 ถ.นวมินทร์ กรุงเทพฯ,56 ถ.นวมินทร์ กรุงเทพฯ,TH88990011K
ORD-019,25/2/10,CUS-019,EMP-001,"3,200",Online,34 ถ.พระราม 2 กรุงเทพฯ,34 ถ.พระราม 2 กรุงเทพฯ,TH22331144L
ORD-020,25/2/10,CUS-011,EMP-002,890,In-Store,สาขาสำนักงานใหญ่ (BK-001),67 ถ.เลียบคลอง กรุงเทพฯ,-
